Text,labels
巩固公司在行业内的优势地位,1
收入和毛利的增长,1
锌市场加工费价格同比下降,1
经营现金流大幅改善,1
公司在相关专用成形装备领域持续研发的优势得以体现,1
资源类上游产品需求持续旺盛,1
聚焦客户需求,1
公司继续加强企业管理,1
期末产品库存成本高于售价,1
产品的迭代更新效果在报告期逐步显现,1
公司生产经营全面恢复但产销量仍较低,1
公司全体员工齐心协力，努力进取,1
公司目前正处于业务转型期,1
美联储大幅加息,1
钢价的稳定,1
强化“医疗+医药”内涵建设和竞争力提升,1
上海新冠疫情爆发,1
柔性化合作模式,1
公司下游矿山工程、川藏铁路等基建工程快速复苏,1
公司产品及品牌的溢价能力增强,1
锂离子电池隔膜行业保持良好发展趋势,1
疫情对公司部分重点地区经营造成影响,1
产品结构持续优化升级,1
加大汽车内饰市场开拓力度,1
生产设备折旧、房租、人工费等固定成本仍较高,1
医保控费,1
新能源产业快速发展,1
科学合理安排生产与交付,1
国家集采常态化,1
客户的广泛认可,1
公司装备类业务出现订单交付延期或项目进度不达预期的情形,1
较大非经常性收益,1
非堂食业务不放松,1
开工率不足,1
宏观销售环境相比今年第一季度已略显好转,1
资本开支的持续投入,1
大客户新产品项目持续落地,1
海内外基础设施投入不断加大,1
停工停产,1
公司所处行业竞争加剧,1
疫情管控,1
主要产品销售量下降,1
毛利率改善,1
光伏装机超预期,1
油气装备市场需求旺盛,1
提升费效比/投入产出比,1
全面改善经营,1
国家对氢能示范城市群奖励的政策出台,1
出货量同比增长,1
全球物流供应链滞阻,1
营业收入的增长,1
结算电价上涨,1
产品价格降低,1
实施控费措施,1
汽车销量下滑,1
准时和成功交付率的持续提升,1
快速反应和满足下游客户需求,1
动力电池市场头部客户的需求,1
提升产品市场渗透率,1
促进种子销售,1
上游原辅料价格上涨,1
行业的持续扩张,1
相关成本和费用处于正常支出状态,1
加大开拓海内外市场力度,1
公司煤炭、尿素等主导产品价格保持高位运行,1
经营性利润增长,1
降费降耗,1
全面对标先进,1
稳定供应,1
客户进行了产品价格的平衡性调整,1
调整经销商结构、终端服务方式及销售模式,1
产品、客户结构持续优化,1
应收账款坏账准备金计提冲回,1
打印行业芯片业务新推出高价值产品,1
公司整体经营保持稳健,1
公司主要产品参麦注射液参与的中成药省际联盟集中带量采购未中选,1
新增了办公室租赁面积,1
部分贷款逾期产生大额罚息,1
参与定增项目的股票及黄金积存金投资公允价值变动,1
公司MaaS地图服务收入提升,1
尚未形成规模量产,1
批量销售,1
SQM2022年半年度业绩同比大幅增长,1
原材料价格等成本上涨,1
公司所投资标的产生的公允价值变动,1
政府补助增加,1
竞争优势不断巩固,1
消费市场低迷,1
船舶产品进度款增加,1
公司大量引进人才,1
油气行业市场需求回暖,1
产品结构进一步优化,1
公司调整市场与产品结构,1
公司房产项目交付量和交付项目的利润水平低于上年同期,1
大宗原材料价格同比上涨,1
需求下降,1
湿法锂电池隔离膜产能持续提升,1
渠道拓展投入,1
多晶硅产品需求旺盛,1
原材料铝锭价格大幅下降,1
公司销售额减少,1
欧美等海外市场需求旺盛,1
公司紧抓落实实验室产能提升,1
公司锂电正极材料新一代产品快速形成规模化应用,1
部分项目停工,1
应收账款保理业务,1
原材料价格保持高位,1
通货膨胀,1
公司自有切片产能的逐步释放,1
价格（含税）维持在10000元-12000元/吨之间波动,1
组织协同和管理协同,1
公司主要产品销售价格继续维持高位运行,1
综合毛利率有所下降,1
成都轨道交通线路建设进度,1
公司产能提升,1
常态化的疫情管控措施,1
硅料、硅片、电池片及部分辅料价格上涨,1
筑牢风控防线,1
技术研发与客户认证,1
国际市场需求较为旺盛,1
公司紧密围绕着战略规划目标和年度经营计划,1
毛利率较高的驻外融合生产模式业务占比下降,1
外汇汇率波动,1
客户需求旺盛,1
需求持续向好,1
整体投资环境,1
整体盈利能力有所提升,1
消费电子市场低迷,1
能源保供需要,1
渠道拓展及下沉深耕,1
产品价格同比上涨,1
葡萄酒、降解新材料业务营业收入大幅下滑,1
新能源、汽车轻量化领域中锂电池铝箔、电池壳、电池托盘、水冷板、汽车板、乘用车铝部件、商用车铝材等需求旺盛,1
客户供应链体系调整,1
公司前次募投项目基本达产,1
流动资金借款较上年同期增加,1
销售促销力度加大,1
市场需求出现异常,1
高毛利产品销售结构占比有所提高,1
公司“内外双攻”战略的贯彻与实施,1
饲料原料采购价格上涨,1
处理水量减少,1
煤炭成本高位运行,1
新市场产品订单增加,1
公司持续追加对光电显示材料相关产线和产品的研发投入,1
原材料价格与运输费用上涨,1
汽车行业表现不佳,1
公司的生产经营、物流运输特别是原材料的供应受到较大冲击,1
毛利率的提升,1
公司产能规模扩张,1
美元兑人民币汇率的逐步趋稳,1
国际原油价格持续上涨等因素影响，资源类上游产品需求持续旺盛,1
全球供应链发生严重迟滞,1
各项费用相应增加,1
手机行业的市场需求不景气,1
收回了部分应收账款,1
公司可转债募投项目——年产10万吨玻璃纤维高端制造项目逐步达产、稳产,1
产品材料价格大幅上涨,1
公司全面提升运营效率,1
柔性化生产效果持续显现,1
公司积极扩大生产研发规模,1
营业收入同比持续增长,1
区域封控,1
化工行业总体景气度延续,1
行业口碑的建立,1
公司民爆器材、硝酸铵、复合肥产品销售价格及销量同比均有所上升,1
公司经营情况预计不会发生重大变化,1
境内外客户需求增长,1
广润福园等房地产项目正处于销售期,1
加强能力建设,1
中国部分地区新冠疫情反复和国际物流成本继续高企,1
新冠肺炎疫情反复,1
防控措施不断收紧,1
新冠肺炎疫情形势较为严峻,1
公司客户结构调整,1
公司太阳能封装胶膜业务增长,1
营业收入中高毛利率的开关类、自动化类等产品收入占比下降,1
多晶硅还原炉和冷氢化用电加热器产品销售收入与盈利能力同比大幅增长,1
加快自动化进程,1
参股公司尚处于研发投入阶段,1
市场供求关系的改善,1
子公司期货投资亏损,1
抢抓下游客户扩产契机,1
5+N组织体系规模进一步扩大,1
停工停产时间较长,1
综合毛利率同比增加,1
公司产能规模进一步扩大,1
运营效率明显提升,1
公司主营业务产品产销量均有大幅度提高,1
深化精益管理,1
公司成本控制,1
人民币兑美元汇率波动,1
规模效应得以进一步显现,1
订单需求继续保持增长态势,1
销售的不同产品结构占比变动,1
加大对在线游戏的投入,1
单产品双基地生产保供策略,1
行业调控政策,1
煤炭、天然气价格仍旧高企,1
公司抓住机遇加大销售力度,1
公司两大主营业务稳步发展,1
新增物流设施投入运行,1
管控生产成本,1
新能源汽车市场渗透率大幅提升,1
生产效率下降,1
信息技术应用创新为代表的基础软件行业快速发展,1
周期性停工检修开工不足,1
强化市场开拓,1
做好防疫和生产“双线”战役,1
公司项目施工进度缓慢,1
部分业务的投标活动受到较大影响,1
转让参股子公司股权事项,1
环境电器业务市场较为平稳,1
销量有所下降,1
原油价格上涨,1
欧洲市场出现配件供应紧张,1
产销量及利润大幅增加,1
城桥镇2#地块商品房项目销售收入也大幅下降,1
公司产品结构的不断优化,1
经营质量进一步提高,1
公司收回对外投资,1
上网电量较上年同期增加,1
积极开拓市场,1
部分稀土商品的市场价格较上年同期上涨幅度较大,1
国际局势动荡,1
疫情封控政策,1
对我司各地的产销供应均产生较为严重影响,1
公司的管理水平和运营效率进一步提升,1
煤炭市场价格高位运行,1
全球能源供需格局改变,1
科研生产任务与日俱增,1
疫情反复变化,1
公司管理水平进一步加强,1
资本市场波动,1
升级用户体验,1
积极拓展市场,1
部分产品高纯碳酸钡、碳酸锶、高纯碳酸锶销售量上涨,1
科学管控成本,1
公司收入下降,1
开展提质增效专题行动,1
检测效率提升,1
国内外市场低迷,1
费用投入增加,1
"全球通胀加剧等影响,公司产品的主要原材料价格居高不下",1
供应链停滞,1
海外市场业务持续表现活跃,1
公司营业收入增加,1
影片调整发行上映计划,1
原材料保供及成本控制方面取得一定成效,1
公司所辖路段内的车流量同比减少,1
珠海广联、晋城广联、南昌广联、景德镇航胜等子公司在各地对航空航天零部件加工制造能力的建设,1
公司上个会计年度对苏州赛安电子技术有限公司计提8200万的资产减值损失,1
加大广告宣传与营销活动推广力度,1
下游需求不振,1
公司合肥组件大基地高效大尺寸组件产能不断投产,1
发电量增加,1
股权公允价值上升,1
优化产业布局,1
煤炭价格持续高位运行,1
国内海外业务同步推进,1
公司生产设备检修较集中,1
产销量同比大幅增加,1
防控暂时无法返回住所的保供人员优先提供酒店住宿,1
五轴联动数控机床在多行业领域的市场需求旺盛,1
公司各业务板块持续稳健经营,1
小品种板块产品持续增量,1
加快先进耗材扩产,1
智能手机出货量增速“前高后低”,1
营业收入同比下降,1
风电行业进入平价时代,1
仿制药质量和疗效一致性评价奖励,1
新招聘大量营销及技术服务人员,1
结利项目毛利水平较上年同期有所下降,1
公司物流板块中航运业务代理航线的运费及非自有船舶运费收入同比增幅明显,1
公司主营业务毛利率较低,1
业务结构不断优化,1
公司主要产品的销量与2021年同期有所增长,1
公司将会采取更多积极的方式应对,1
售价小幅上涨,1
上海制剂生产及销售不达预期,1
疫情和宏观环境带来的困难和影响,1
盈利能力大幅提升,1
重卡市场需求萎缩,1
公司提升经营效率,1
旅游市场收缩,1
限制人员聚集、流动及限制物流运输等疫情防控政策,1
公司过去几年在高端彩超、高清内镜领域的持续研发和市场投入逐渐获得产出,1
企业实际需要，公司对所属矿井调整安全费用提取标准,1
创新合作落地尚处于攻坚阶段,1
产品结构调整,1
市场订单增加,1
硅料销售的量利齐升,1
聚醚毛利率有所回升,1
公司设备与材料两大业务板块持续发展,1
员工出差、客户接待、项目协调等关键性经营工作全面受阻,1
产能规模优势凸显,1
回款期限延长,1
产能有效提升,1
先进微电子装备(郑州)有限公司及其全资子公司ADT公司纳入公司合并报表,1
公司在手订单的收入确认周期与进度,1
西北稀有金属材料研究院宁夏有限公司净利润比去年同期增长,2
公司在高端人才、技术服务人员等方面加大投入,2
清洁能源、新能源汽车快速发展,2
生猪销售价格较去年同期大幅下降,2
推进市场化精益化“两化融合”管理工作,2
充分释放装置产能,2
公司主要产品处于周期性的景气通道中,2
开发优质项目,2
供应链管理的优化,2
激光器下游设备集成商开工率不足,2
新冠核酸检测试剂市占率持续走高,2
“冰洗空冷厨”全品类布局的新产业格局,2
先进前驱体材料业务,2
公司调整管理模式,2
费用率有所下降,2
公司的参股企业本期经营亏损增加,2
金融市场出现较大波动,2
智能电视平均尺寸增大,2
新冠抗原快速检测试剂盒产品在2022年一季度销售同比增长,2
新冠肺炎疫情管控,2
产品原材料自产率不断提升,2
公司未能正常开展经营活动,2
行业景气度延续,2
产品价格上涨,2
国内疫情多点散发,2
公司精密加工类业务保持了稳定的持续增长态势,2
设备出口销售额大幅增加,2
资产质量不断优化,2
公司收入及产能出现明显下降,2
产能的释放,2
智能手机总体需求下降,2
欧元持续贬值,2
捕捞产量增长,2
折旧摊销、材料费、能源费、人员工资等也随之增加,2
坚韧、稳定的保供表现,2
公司品种不断丰富,2
物流运输的不确定性,2
会计估计变更,2
公司电池级氢氧化锂出货数量及销售金额较上年同期大幅增长,2
发电机电源系统配件及新能源电驱动产品市场需求稳步增长,2
经营效率得到提高,2
新能源装备市场需求旺盛,2
行业发展趋势，公司积极进行研发升级与产品技术迭代,2
加强市场销售及推广工作,2
澳洲子公司售电单价上涨,2
大力拓展新能源材料应用场景,2
主营产品的销量及收入同比增加,2
公司对外扩大销售,2
公司开发销售业务稳步推进,2
美国上半年CPI高涨,2
优化调整市场和产品结构,2
新产能释放,2
在手订单充足,2
加快产品更新迭代,2
投入项目产能释放,2
公司持有的外汇实现汇兑收益,2
订单量快速增加,2
公司主营业务发展态势良好,2
管理层采取了有效经营管理措施,2
新增固定资产折旧增加,2
产品毛利率下降,2
保持了较高的生产负荷,2
终端订单量下降,2
对染料的需求也所有下降,2
成本有所上涨,2
产品自动化生产线投产,2
上游原材料自供能力强化提升,2
公司内抓管理,2
主力门店重点打造“产品+服务+场景”新格局,2
期末应收账款余额增加,2
存货增加,2
公司主业板块的产品销量增加,2
与上海基地实现1+1>2的规模集成优势,2
所持其他非流动金融资产期间股价下跌,2
产品供不应求,2
市场环境变化,2
有息债务金额过大,2
新增CMO业务,2
公司产品的主要原材料价格持续高走,2
新冠肺炎疫情防控形势复杂严峻,2
加大市场开拓,2
公司的可持续发展,2
公司经营情况良好,2
新型冠状病毒疫情反扑,2
公司主营产品中集成电路靶材和稀土系列产品产销量增加,2
海外市场的全面恢复,2
下游市场需求恢复,2
原材料价格有所回落,2
会计处理,2
调整产品品种配置,2
营运费用、折旧摊销费用等需正常支出,2
公司主营业务产品碳酸锶、金属锶等市场价格延续上年行情,2
新产品、高附加值产品比例不断增加,2
公司产能和业务规模扩大,2
国内市场需求增加,2
聚焦五大核心品类：辣卤零食、深海零食、烘焙、薯片以及果干,2
交通枢纽门店和学校类型门店客流严重下降,2
补助政策取消,2
推进非公开项目建设,2
地市下沉,2
产品盈利能力增强,2
双氧水装置试生产运行稳定产品质量合格,2
零售行业竞争激烈,2
降解新材料物流受限,2
公司产品市场需求旺盛,2
新能源汽车及储能市场的快速发展,2
国外主要客户供应链结构调整,2
美元兑人民币汇率波动,2
鳗鲡存塘数量减少,2
广西募投项目的投产,2
各项成本费用较上年同期有较大的增长,2
资产减值损失的减少,2
“双碳”时代可再生能源需求增加,2
新能源汽车行业的快速发展,2
提高了员工薪资待遇,2
锂盐产品的需求持续增长,2
原材料及运输费高企,2
疫情的反复,2
公司化工产品的产销情况基本正常,2
外部环境未发生变化,2
公司下游客户需求迟延,2
提升公司产品竞争力和服务满意度,2
正在建设中的子公司管理费用上升,2
房地产客户工程项目施工量减少,2
募投项目稳步推进,2
核工业进入快速发展期,2
企业所得税退税,2
原油价格持续上涨,2
市场情况动态调整经营及销售策略,2
市场需求回暖,2
一体化综合服务的能力,2
疫情影响等诸多不确定性因素,2
原材料价格持续下滑但波动幅度不大,2
零售业绩的下滑,2
西安、深圳、上海先后受到疫情冲击,2
乘坐高铁动车出行人数的持续减少,2
扩大产销规模,2
体验式营销,2
未达满租状态,2
原材料价格持续下滑,2
液晶面板行业竞争加剧,2
与下游客户保持着良好的合作关系,2
宏观经济和行业监管政策变化,2
人民币兑日元汇率升高,2
公司与上下游客户协同建立柔性化合作模式,2
公司实施司法重整,2
人员、物流受阻,2
加强应收账款回收和现金流管理,2
深化全产业链垂直一体化协同,2
外拓市场,2
施工进度有所滞后,2
长时间的疫情封控政策,2
全球通胀加剧,2
原有生产基地技改产能释放,2
化工产品及磷矿石销售单价持续上升,2
双方最终不得不终止合作,2
宏观经济增速放缓,2
产品结构的变化,2
氢氧化钾市场价格上升,2
国内外铝价同比大幅上涨,2
聚乙烯醇（PVA）、醋酸乙烯（VAC）等主营产品量增价涨,2
建筑玻璃原片价格持续下降,2
用户需求下降,2
优秀合作伙伴,2
加强市场开发力度,2
公司重大资产重组完成,2
原材料采购成本处于高位的不利,2
新能源及节能环保领域的市场机遇,2
俄乌战争等国际形势动荡,2
公司生产效率整体得到提升,2
家具产品消费需求受到抑制,2
合理调配各种资源,2
甜菊糖售价和收入同比增长,2
优化融资结构,2
技改和优化管理,2
计提信用减值准备,2
公司锂电材料板块业务同比增幅较大,2
数据中心客户流量需求的增长,2
医疗新基建,2
停业装修升级改造,2
降本节支,2
景观照明行业竞争不断加剧,2
公司优化调整销售网络体系,2
国家集采政策带来的快速商业化放量机遇,2
制造业转型升级,2
防范债务风险,2
经营效果未能达到预期,2
处置2艘老旧船舶,2
飞机需维修及重新注册,2
公司研发、销售及管理人员等的数量均有所增加,2
销售均价同比上涨,2
海运价格大幅增长,2
新增管理费用,2
优化市场结构,2
员工专业技能培训,2
400G和200G等高端产品的出货比重增加,2
全球新能源汽车景气度提升,2
加强原材料集中采购,2
商用车市场持续低迷,2
精益管理持续增效,2
确认利息收入,2
营业收入规模增长,2
越南铅酘工厂生产恢复正常,2
数字地球成为数字经济的新底座,2
国家、地方多重拉动汽车消费政策,2
公司出售北京北陆药业股份有限公司可转换公司债券,2
参股公司经营业绩同比增长较快,2
市场需求增长,2
业绩不达预期,2
销气毛利大幅增长,2
公司实施重大资产出售,2
公允价值变动,2
电机能效升级,2
我国光伏行业继续保持增长势头,2
下游客户的持续扩产,2
终端消费需求不足,2
市场环境下行,2
下游客户对锂盐的需求强劲增长,2
公司电池化学品业务加强与战略客户的紧密合作,2
已计提的坏账准备转回,2
公司EGR版块业务继续保持稳步增长,2
确认股份支付费用,2
渠道力的竞争优势凸显,2
磁性材料产业整体业绩提升,2
降本增效成果显著,2
贷款规模有所降低,2
采取增效措施,2
增加了部分固定费用和刚性支出,2
为玩家提供更多精品游戏,2
汇兑收益较上年同比有所增长,2
联营企业耗用锂精矿产出锂盐并销售,2
公司无缝业务增长较快,2
公司极开拓主营业务,2
